question_num,question,a,b,c,d,correct_answer
114,Khi nghiên cứu về chủ thể quan hệ pháp luật thì khẳng định nào sau đây là đúng?,Tất cả mọi cá nhân đều có thể trở thành chủ thể của quan hệ pháp luật,Tất cả mọi tổ chức đều có thể trở thành chủ thể của quan hệ pháp luật,Tất cả mọi cá nhân và tổ chức có đủ những điều kiện do pháp luật quy định đều có thể trở thành chủ thể của quan hệ pháp luật,"Tất cả các cơ quan, đơn vị, tổ chức và cá nhân trong xã hội đều có thể trở thành chủ thể của quan hệ pháp luật",c
115,"A đánh B gây thương tích 15%, theo bạn, Bộ luật hình sự năm 2015 sửa đổi bổ sung năm 2017 thì A phải chịu hình phạt nào?","Răn đe, giáo dục",Bồi thường thiệt hại,Phạt tù,Tạm giữ để giáo dục,c
116,Các quyền và nghĩa vụ pháp lý cơ bản của công dân được qui định trong…,Luật hành chính,Luật hôn nhân - gia đình,Luật dân sự,Hiến pháp,d
117,Chủ thể có năng lực trách nhiệm pháp lý khi có đủ điều kiện sau?,Từ 18 tuổi trở lên và có trí óc bình thường,"Đạt độ tuổi do pháp luật quy định, có năng lực pháp luật",Có năng lực pháp luật và năng lực hành vi,"Đạt độ tuổi do pháp luật quy định, có khả năng nhận thức và điều khiển hành vi",d
118,"Khi nghiên cứu về quyền chủ thể trong quan hệ pháp luật, thì khẳng định nào sau đây là ĐÚNG?",Khả năng được lựa chọn những xử sự theo ý muốn chủ quan của mình,Khả năng yêu cầu các chủ thể khác thực hiện nghĩa vụ để bảo đảm việc thực hiện quyền của mình,Khả năng yêu cầu cơ quan Nhà nước có thẩm quyền bảo vệ quyền của mình khi bị phía chủ thể bên kia vi phạm,Tất cả đều đúng,d
119,Nhận định nào sau đây SAI khi nói đến vai trò của pháp luật…,Pháp luật là phương tiện để Nhà nước quản lý mọi mặt đời sống xã hội,"Pháp luật là phương tiện thực hiện và bảo vệ quyền, lợi ích hợp pháp của mỗi công dân",Pháp luật là công cụ thực hiện đường lối chính sách của Đảng,Pháp luật là công cụ bảo vệ mọi quyền và lợi ích của mọi công dân,d
120,Nội dung nào sau đây phù hợp với tính quy phạm và phổ biến của pháp luật?,Phạm vi tác động của quy phạm xã hội rộng hơn so với pháp luật,Ai cũng cần phải thực hiện theo các tín điều tôn giáo được ban hành,Cơ quan có quyền ban hành pháp luật thì cũng có quyền không thực hiện pháp luật,"Phạm vi tác động của pháp luật rộng lớn cả về không gian, thời gian và đối tượng áp dụng",d
121,Ưu thế vượt trội của pháp luật so với các quy phạm xã hội khác là?,Tính cưỡng chế,Tính rộng rãi,Tồn tại trong thời gian dài,Tính xã hội,a
122,Nghĩa vụ pháp lý của chủ thể gồm có?,Chủ thể phải tiến hành một số hành vi nhất định do pháp luật quy định,"Chủ thể phải tự kiềm chế, không được thực hiện một số hành vi nhất định",Chủ thể phải chịu trách nhiệm pháp lý khi không thực hiện theo cách xử sự bắt buộc mà pháp luật đã quy định,Tất cả đều đúng,d
123,"Trong các yếu tố cấu thành hệ thống pháp luật, yếu tố được xem là đơn vị cơ bản nhỏ nhất trong hệ thống pháp luật là:",Quy phạm pháp luật,Chế định pháp luật,Ngành luật,Tất cả đếu đúng,a
124,"Các quy phạm pháp luật có đặc điểm chung giống nhau để điều chỉnh một nhóm quan hệ xã hội tương ứng, đó chính là:",Quy phạm pháp luật,Chế định pháp luật,Ngành luật,Hệ thống pháp luật,b
125,"Tổng hợp các quy phạm pháp luật điều chỉnh một lĩnh vực nhất định của đời sống xã hội, đó chính là:",Quy phạm pháp luật,Chế định pháp luật,Ngành luật,Hệ thống pháp luật,c
126,Chọn phương án đúng nhất: Pháp luật là công cụ bảo vệ lợi ích của…?,Tổ chức tôn giáo,Giai cấp thống trị,Nhà nước và xã hội,Nhân dân,c
127,Tính cưỡng chế của pháp luật được thể hiện:,Những hành vi vi phạm pháp luật đều bị xử phạt hành chính,Những hành vi vi phạm pháp luật đều bị áp dụng hình phạt,Những hành vi vi phạm pháp luật đều có thể bị áp dụng biện pháp chế tài,Những hành vi vi phạm pháp luật đều bị xử lý kỷ luật,c
128,Pháp luật và đạo đức là hai hiện tượng…,Đều mang tính quy phạm,Đều mang tính quy phạm bắt buộc chung,Đều là quy phạm tồn tại ở dạng thành văn,Đều do nhà nước đặt ra hoặc thừa nhận,a
129,"Vi phạm hình sự ở mức độ tội phạm nghiêm trọng, khung hình cao nhất là…",7 năm,5 năm,3 năm,8 năm,a
130,"Đạo luật nào dưới đây quy định một cách cơ bản về chế độ chính trị, chế độ kinh tế, văn hóa, xã hội và tổ chức bộ máy nhà nước.",Luật tổ chức Quốc hội,Luật tổ chức Chính phủ,Luật tổ chức Hội đồng nhân dân và UBND,Hiến pháp,d
131,Thừa kế là chế định quan trọng của ngành luật nào sau đây?,Luật Tố tụng dân sự,Luật Hình sự,Luật đất đai,Luật Dân sự,d
132,"A và B đua xe, lạng lách đánh võng trên đường và bị cảnh sát giao thông xử lý. Theo em, A và B phải chịu trách nhiệm pháp lý nào?","Cảnh cáo, phạt tiền, giam xe","Cảnh cáo, phạt tiền","Cảnh cáo, giam xe","Phạt tiền, giam xe",a
133,Cảnh sát giao thông xử phạt người chở hang cồng kềnh khi tham gia giao thông là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Sử dụng pháp luật,Thi hành pháp luật,uân thủ pháp luật,Áp dụng pháp luật,d
134,Các hình thức thực hiện pháp luật theo thứ tự là:,"Sử dụng pháp luật, thi hành pháp luật, áp dụng pháp luật và tuân thủ pháp luật","Tuân thủ pháp luật, thi hành pháp luật, sử dụng pháp luật và áp dụng pháp luật","Sử dụng pháp luật, thi hành pháp luật, tuân thủ pháp luật và áp dụng pháp luật","Tuân thủ pháp luật, sử dụng pháp luật, thi hành pháp luật và áp dụng pháp luật",b
135,Các trường hợp chiếm hữu nào sau đây là chiếm hữu không có căn cứ pháp luật:,Chiếm hữu vật đánh rơi không khai báo,Chiếm hữu của chủ sở hữu vật,Chiếm hữu do chủ sở hữu vật uỷ quyền,Chiếm hữu thông qua việc thuê vật của chủ sở hữu,a
136,Các trường hợp quyền định đoạt tài sản của chủ sở hữu bị hạn chế:,Bán vật là di tích lịch sử,Bán vật đang thế chấp,Bán vật đang cầm cố,Tất cả đều đúng,d
137,Chọn phương án đúng nhất: Hàng thừa kế thứ nhất theo quy định pháp luật về thừa kế:,Con nuôi của người chết,Con đẻ của người chết,Em ruột của người chết,"Vợ, chồng, cha đẻ, mẹ đẻ, cha nuôi, mẹ nuôi, con đẻ, con nuôi của người chết",d
138,"Hành vi không lạng lách, đánh võng khi đi xe máy trên đường của anh A là biểu hiện hình thức thự hiện pháp luật nào dưới đây?",Sử dụng pháp luật,Tuân thủ pháp luật,Thi hành pháp luật,Áp dụng pháp luật,b
139,"Ông B đi vào đường ngược chiều, chưa gây tai nạn cho ai nhưng cảnh sát giao thông đã xử phạt với việc xử phạt đó nhằm mục đích gì?",Ngăn chặn không để gây tai nạn cho chính ông B,Chấm dứt hành vi vi phạm pháp luật (đi ngược chiều),Ngăn chặn không để gây tai nạn cho người khác,Tất cả đều đúng,d
140,Trong các hành vi dưới đây hành vi nào thể hiện công dân sử dụng pháp luật?,Người kinh doanh trốn thế phải nộp phạt,Anh A và chị B đến UBND phường đăng ký kết hôn,Các bên tranh chấp phải thực hiện các quyền và nghĩa vụ của mình theo qui định của pháp luật,Công ty X thực hiện nghĩa vụ đóng thuế theo quy định pháp luật,b
141,Anh A sử dụng điện thoại di động khi đang điều khiển xe máy. Công an đã xử phạt hành chính anh A. Việc làm của công an là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?,Tuân thủ pháp luật,Sử dụng pháp luật,Thi hành pháp luật,Áp dụng pháp luật,d
142,Thực hiện trách nhiệm pháp lý đối với người từ đủ 14 đến dưới 18 tuổi là…,"Giáo dục, răn đe là chính",Có thể bị phạt tù,Buộc phải cách li với xã hội và không có điều kiện tái hòa nhập cộng đồng,Chủ yếu là đưa ra lời khuyên,a
143,Quan hệ xã hội nào dưới đây không phải là quan hệ pháp luật…,Anh A và chị B làm thủ tục đăng ký kết hôn,Chị G ra chợ mua rau,Quan hệ lao động,Quan hệ cha mẹ – con,b
144,Hành vi phạm tội nào sau đây không bị xem là tội phạm:,"Không đăng ký tạm trú, tạm vắng",Trộm cắp tài sản công dân,Đua xe trái phép gây hậu quả nghiêm trọng,Lừa đảo chiếm đoạt tài sản,a
145,"Tòa án huyện A tuyên bố bị cáo B mức phạt 2 năm tù vì tội hiếp dâm, là…",Sử dụng pháp luật,Áp dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,b
146,"Các tổ chức, cá nhân chủ động thực hiện quyền (những việc được làm) là:",Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,a
147,Các tổ chức cá nhân chủ động thực hiện nghĩa vụ (những việc phải làm) là…,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,b
148,Độ tuổi tối thiểu chịu trách nhiệm hình sự là từ đủ:,12 tuổi,14 tuổi,16 tuổi,18 tuổi,b
149,Chọn phương án đúng nhất: Sự kiện pháp lý là những sự kiện xảy ra…?,Từ hành vi xử sự của con người,Từ thực tiễn đời sống xã hội,"Trong thực tiễn đời sống mà sự xuất hiện hay mất đi của nó được pháp luật gắn với việc hình thành, thay đổi hay chấm dứt quan hệ pháp luật",Tất cả đều sai,c
150,Khi nghiên cứu về chủ thể quan hệ pháp luật thì khẳng định nào sau đây là đúng?,Mọi cá nhân đều có năng lực hành vi như nhau,Mọi cá nhân đạt độ tuổi do luật định được tham gia vào tất cả quan hệ pháp luật,Mọi tổ chức đều được tham gia vào tất cả quan hệ pháp luật,Mọi chủ thể tham gia vào quan hệ pháp luật đều có quyền và nghĩa vụ nhất định,d
151,Khi nghiên cứu về đặc điểm của quan hệ pháp luật thì khẳng định nào sau đây là sai?,Quan hệ pháp luật là loại quan hệ có ý chí,Quan hệ pháp luật xuất hiện dựa trên cơ sở quy phạm pháp luật,Quan hệ pháp luật do nhà nước quy định,Quan hệ pháp luật luôn gắn liền với sự kiện pháp lý,c
152,Các tổ chức cá nhân không làm những việc bị cấm là:,Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,c
153,Quyền lao động của công dân chỉ bắt đầu được thực hiện khi nào?,Phải có người có nhu cầu sử dụng lao động (thuê mướn),Công dân phải tìm được vịêc làm,Người lao động và người sử dụng lao động xác lập một quan hệ pháp luật lao động cụ thể,Tất cả đều đúng,d
154,Quá trình thực hiện pháp luật chỉ đạt hiệu quả khi các chủ thể tham gia quan hệ pháp luật thực hiện…,Đúng đắn các quyền của mình theo Hiến pháp và pháp luật,Đầy đủ các quyền và nghĩa vụ của mình theo Hiến pháp và pháp luật,Đầy đủ nghĩa vụ của mình theo Hiến pháp và pháp luật,Đúng đắn các quyền và nghĩa vụ của mình theo Hiến pháp và pháp luật,d
155,Xác định phương án SAI: Trong một quan hệ pháp luật…,Không có chủ thể nào chỉ có quyền mà không có nghĩa vụ,Quyền và nghĩa vụ của các chủ thể không tách rời nhau,Không có chủ thể nào chỉ có nghĩa vụ mà không có quyền,"Quyền của cá nhân, tổ chức này không liên quan đến nghĩa vụ của cá nhân, tổ chức khác",d
156,Dấu hiệu cơ bản của vi phạm pháp luật là,Là hành vi trái pháp luật,Do người có năng lực trách nhiệm pháp lý thực hiện,Vi phạm pháp luật phải có lỗi,Tất cả đều đúng,d
157,Nhà nước đưa ra trách nhiệm pháp lý là nhằm:,Phạt tiền người vi phạm,"Buộc chủ thể vi phạm chấm dứt hành vi trái pháp luật, phải chịu những thiệt hại nhất định; giáo dục răn đe những người khác",Lập lại trật tự xã hội,Ngăn chặn người vi phạm có thể có vi phạm mới,b
158,"Khả năng chủ thể có quyền hoặc có nghĩa vụ pháp lý do Nhà nước quy định, gọi là?",Khả năng pháp lý,Năng lực pháp luật,Năng lực hành vi,Năng lực đạo đức,b
159,Chọn phương án đúng nhất: Quan hệ pháp luật hình sự là:,Quan hệ phát sinh khi có hành vi phạm tội,Quan hệ phát sinh giữa người phạm tội với người bị hại,Quan hệ phát sinh giữa nhà nước và người phạm tội khi có một tội phạm xảy ra,Tất cả đều sai,c
160,"Bạn A (17 tuổi) vì mâu thuẫn cá nhân với anh B (hàng xóm) nên đã rủ một bạn mang theo hung khí đến anh B, khiến anh B tử vong. Hành vi của bạn A thuộc loại vi phạm pháp luật nào dưới đây?",Vi phạm hình sự,Vi phạm dân sự,Vi phạm hành chính,Vi phạm kỉ luật,a
161,"Các cá nhân, tổ chức sử dụng đúng đắn các quyền của mình, làm những gì mà pháp luật cho phép làm là nội dung của hình thức thực hiện pháp luật nào dưới đây?",Sử dụng pháp luật,Thi hành pháp luật,Tuân thủ pháp luật,Áp dụng pháp luật,a
162,Nguyên nhân cốt lõi của sự ra đời nhà nước là:,Kết quả của ba lần phân công lao động trong lịch sử,Kết quả của nền sản xuất hàng hoá cùng những hoạt động thương nghiệp,Nhu cầu về sự cần thiết phải có một tổ chức để dập tắt xung đột giai cấp,Nhu cầu về sự cần thiết phải có một tổ chức thay thế thị tộc - bộ lạc,c
163,Tính giai cấp của nhà nước thể hiện ở chỗ:,Nhà nước là một bộ máy trấn áp giai cấp,Nhà nước là một bộ máy của giai cấp này thống trị giai cấp khác,Nhà nước ra đời là sản phẩm của xã hội có giai cấp,Tất cả đều đúng,d
164,Chủ quyền quốc gia là:,Quyền độc lập tự quyết của quốc gia trong lĩnh vực đối nội,Quyền độc lập tự quyết của quốc gia trong lĩnh vực đối ngoại,Quyền ban hành văn bản pháp luật,Tất cả đều đúng,d
165,Công dân khi tham gia các quan hệ xã hội đều thực hiện cách xử sự phù hợp với quy định của pháp luật là biểu hiện của…,Ban hành pháp luật,Xây dựng pháp luật,Thực hiện pháp luật,Phổ biến pháp luật,c
166,"Lịch sử xã hội loài người đã tồn tại ...... kiểu nhà nước, bao gồm các kiểu nhà nước là .............",4 – chủ nô – phong kiến – tư hữu – XHCN,4 – chủ nô – phong kiến – tư sản – XHCN,4 – chủ nô – chiếm hữu nô lệ – tư bản - XHCN,"4 – địa chủ – nông nô, phong kiến – tư bản – XHCN",b
167,Trong các hành vi dưới đây hành vi nào thể hiện công dân áp dụng pháp luật?,Người tham gia giao thông không vượt qua ngã tư khi có tín hiệu đèn đỏ,Công dân A gửi đơn khiếu nại lên cơ quan nhà nước,Cảnh sát giao thông xử phạt người không đội mũ bảo hiểm,Anh A và chị B đến UBND phường đăng ký kết hôn,c
168,Chọn phương án đúng nhất: Thế nào là người có năng lực trách nhiệm pháp lý?,"Là người đạt một độ tuổi nhất định theo qui định của pháp luật, có thể nhận thức và điều khiển hành vi của mình",Là người không mắc bệnh tâm thần hoặc một bệnh khác làm mất khả năng nhận thức,Là người tự quyết định cách xử sự của mình và độc lập chịu trách nhiệm về hành vi đã thực hiện,Là người đạt một độ tuổi nhất định theo qui định của pháp luật,a
169,"Tuân thủ pháp luật là hình thức thực hiện pháp luật, trong đó các cá nhân, tổ chức không làm những điều mà pháp luật…",cho phép làm,quy định phải làm,không bắt buộc,quy định cấm,d
170,Tính giai cấp của pháp luật thể hiện ở chỗ….,Pháp luật là sản phẩm của xã hội có giai cấp,Pháp luật là ý chí của giai cấp thống trị,Pháp luật là công cụ để điều chỉnh các mối quan hệ giai cấp,Tất cả đều đúng,d
171,Nhà nước là:,Một tổ chức trong xã hội có giai cấp,Một tổ chức xã hội có chủ quyền quốc gia,Một tổ chức xã hội có luật lệ,Tất cả đều đúng,d
172,Chọn phương án đúng nhất: Hình thức nhà nước là cách tổ chức bộ máy quyền lực nhà nước và phương pháp thực hiện quyền lực nhà nước. Hình thức nhà nước được thể hiện chủ yếu ở ............ khía cạnh; đó là ...................,"3 – hình thức chính thể, hình thức cấu trúc nhà nước và chế độ KT – XH","3 – hình thức chính thể, hình thức cấu trúc và chế độ chính trị","3 – hình thức chuyên chính, hình thức cấu trúc nhà nước và chế độ KT – XH","3 – hình thức chuyên chính, hình thức cấu trúc nhà nước và chế độ chính trị",b
173,"Người thuê nhà tự sửa chữa, cải tạo nhà mà không hỏi ý kiến của chủ nhà là hành vi…:",vi phạm hình sự,vi phạm hành chính,vi phạm dân sự,vi phạm kỉ luật,c
174,"Khả năng nhà nước thừa nhận cho chủ thể bằng hành vi của mình có thể xác lập và thực hiện quyền hoặc nghĩa vụ pháp lý, gọi là?",Khả năng hành vi,Năng lực pháp luật,Năng lực hành vi,Năng lực pháp lý,c
175,"Năng lực pháp luật và năng lực hành vi là những thuộc tính không tách rời của mỗi cá nhân, đều do nhà nước thừa nhận cho họ nên gọi là?",Thuộc tính tự nhiên,Năng lực pháp lý,Thuộc tính pháp lý,Tất cả đều đúng,c
176,Khẳng định nào sau đây là SAI?,Năng lực pháp luật là tiền đề của năng lực hành vi,Năng lực hành vi đầy đủ chỉ có ở những chủ thể đáp ứng đầy đủ các điều kiện do pháp luật quy định,"Năng lực pháp luật và năng lực hành vi là những thuộc tính tự nhiên của mỗi cá nhân, có sẵn khi cá nhân sinh ra",Năng lực chủ thể pháp luật luôn mang tính giai cấp,c
177,Chọn phương án đùng nhất: Cấu thành của vi phạm pháp luật bao gồm:,"Giả định, quy định, chế tài","Chủ thể, khách thể","Mặt chủ quan, mặt khách quan","Chủ thể, khách thể, mặt chủ quan, mặt khách quan",d
178,"Anh A sử dụng điện thoải di động khi đang điều khiển xe máy, công an xử phạt hành chính anh A. Việc làm của công an là biểu hiện của hình thức thực hiện pháp luật nào dưới đây?",Ban hành pháp luật,Tuân thủ pháp luật,Thi hành pháp luật,Áp dụng pháp luật,d
179,"“Pháp luật là hệ thống quy tắc xử sự mang tính ....................., do .................. ban hành và bảo đảm thực hiện, thể hiện ....................... của giai cấp thống trị và phụ thuộc vào các điều kiện .................. là nhân tố điều chỉnh các quan hệ xã hội”.",Bắt buộc – quốc hội – ý chí – chính trị,Bắt buộc chung – nhà nước – lý tưởng – chính trị,Bắt buộc – quốc hội – lý tưởng – kinh tế xã hội,Bắt buộc chung – nhà nước – ý chí – kinh tế xã hội,d
180,"Chọn phương án đúng nhất: Hình thức pháp luật là cách thức mà giai cấp thống trị sử dụng để nâng ý chí của giai cấp mình lên thành pháp luật. Trong lịch sử loài người đã có ............ hình thức pháp luật, đó là ..................","4 – tập quán pháp, tiền lệ pháp, điều lệ pháp và Văn bản quy phạm pháp luật","3 – tập quán pháp, tiền lệ pháp, văn bản quy phạm pháp luật",2 – tập quán pháp và văn bản quy phạm pháp luật,1 – văn bản quy phạm pháp luật,b
181,"Chọn phương án đúng nhất: Quy phạm pháp luật là quy tắc xử sự mang tính .................... do ................... ban hành và bảo đảm thực hiện, thể hiện ý chí và bảo vệ lợi ích của giai cấp thống trị để điều chỉnh các ...........................",Bắt buộc chung – nhà nước – quan hệ pháp luật,Bắt buộc – nhà nước – quan hệ xã hội,Bắt buộc chung – quốc hội – quan hệ xã hội,Bắt buộc chung – nhà nước – quan hệ xã hội,d
182,Chọn phương án đúng nhất: Chế tài có các loại nào sau đây?,Chế tài hình sự và chế tài hành chính,"Chế tài hình sự, chế tài hành chính và chế tài dân sự","Chế tài hình sự, chế tài hành chính, chế tài kỷ luật và chế tài dân sự","Chế tài hình sự, chế tài hành chính, chế tài kỷ luật, chế tài dân sự và chế tài bắt buộc",c
183,Tập quán pháp là:,"Biến đổi những tục lệ, tập quán có sẵn thành pháp luật",Biến đổi những thói quen hành xử của con người trong lịch sử thành pháp luật,Biến đổi những quy phạm tôn giáo thành quy phạm pháp luật,Tất cả đều sai,a
184,Pháp luật được hiểu là?,quy định chung,quy tắc xử sự chung,quy tắc xử sự riêng,quy định riêng,b
185,"Người chưa thành niên, theo qui định pháp luật Việt Nam là người chưa đủ…",18 tuổi,16 tuổi,15 tuổi,17 tuổi,a
186,Cơ quan thường trực của Quốc hội là:,Hội đồng dân tộc,(cid:0)y ban Quốc hội,(cid:0)y ban thường vụ Quốc hội,(cid:0)y ban nhân dân,c
187,"Ông A vận chuyển gia cầm bị bệnh, bị cơ quan có thẩm quyền phát hiện và buộc phải tiêu hủy hết số gia cầm bị bệnh này. Đây là biện pháp chế tài:",Dân sự,Hình sự,Kỷ luật,Hành chính,d
188,"“Người nào quảng cáo gian dối về hàng hóa, dịch vụ gây hậu quả nghiêm trọng đã bị xử phạt hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm thì bị phạt tiền từ 10 triệu đến 100 triệu đồng, cải tạo không giam giữ đến 3 năm hoặc bị phạt tù từ 6 tháng đến 3 năm”. Bộ phận giả định là…",Người nào quảng cáo gian dối về hàng hóa về dịch vụ,Người nào quảng cáo gian dối về hàng hóa dịch vụ gây hậu quả nghiêm trọng,Người nào quảng cáo gian dối về hàng hóa dịch vụ gây hậu quả nghiêm trọng đã bị xử phạt hành chính về hành vi này,"Người nào quảng cáo gian dối về hàng hóa, dịch vụ gây hậu quả nghiêm trọng đã bị xử phạt hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm",d
189,Nhận định nào sau đây SAI khi đề cập đến chức năng của pháp luật?,Pháp luật bảo vệ tất cả các quan hệ xã hội,"Pháp luật tác động đến các quan hệ xã hội chủ yếu, tạo hành lang pháp lý an toàn cho quan hệ xã hội đó tồn tại, phát triển",Chức năng giáo dục của pháp luật thể hiện tính răn đe đối với hành vi vi phạm pháp luật và phòng ngừa chung cho toàn xã hội,Không đáp án nào sai,a
190,"Người lao động đình công theo quy định pháp luật đòi tăng lương, giảm giờ làm, thể hiện vai trò nào sau đây của pháp luật?",Pháp luật làm ổn định những quan hệ mới,Pháp luật là phương tiện để Nhà nước quản lý mọi mặt đời sống xã hội,"Pháp luật là phương tiện để bảo vệ các quyền, lợi ích hợp pháp của công dân",Pháp luật là cơ sở để tạo lập mối quan hệ đối ngoại,c
191,Năng lực của chủ thể bao gồm:,Năng lực pháp luật và năng lực hành vi,Năng lực pháp luật và năng lực công dân,Năng lực hành vi và năng lực nhận thức,Năng lực hành vi và năng lực nhận thức,a
192,"Cá nhân, tổ chức thi hành pháp luật tức là thực hiện đầy đủ những nghĩa vụ, chủ động làm những gì mà pháp luật…",quy định làm,quy định phải làm,cho phép làm,không cấm,b
193,Anh B săn bắt động vật quý hiếm trong rừng. Trong trường hợp này anh B đã…,không thi hành pháp luật,không sử dụng pháp luật,không áp dụng pháp luật,không tuân thủ pháp luật,d
194,"Qua kiểm tra cơ quan của anh C phát hiện anh C thường xuyên đi làm muộn và nhiều lần tự ý nghỉ việc không có lí do. Trong trường hợp này, anh C đã…",vi phạm dân sự,vi phạm hành chính,vi phạm kỉ luật,vi phạm hình sự,c
195,"Những quy tắc xử sự chung, được áp dụng nhiều lần, ở nhiều nơi, đối với tất cả mọi người, trong mọi lĩnh vực của đời sống xã hội là nội dung đặc trưng nào dưới đây của pháp luật?",Tính bắt buộc chung,Tính quyền lực,Tính chặt chẽ về hình thức,Tính quy phạm phổ biến,d
196,Sự xuất hiện của nhà nước cổ đại nào sau đây có nguyên nhân là do mâu thuẫn giai cấp gay gắt đến mức không thể điều hòa được:,Nhà nước Đại Việt,Nhà nước Rôma,Nhà nước Chămpa,Các nhà nước phương Đông,b
197,"Theo học thuyết Mác – Lênin, nhận định nào sau đây là đúng: thay đổi qua các kiểu nhà nước khác nhau nhà nước khác nhau kiểu nhà nước khác nhau nước là không đổi qua các kiểu nhà nước khác nhau",Tính chất giai cấp của nhà nước không đổi nhưng bản chất của nhà nước thì,Tính chất giai cấp và bản chất của nhà nước không thay đổi qua các kiểu,Tính chất giai cấp và bản chất của nhà nước luôn luôn thay đổi qua các,"Tính chất giai cấp của nhà nước luôn luôn thay đổi, còn bản chất của nhà",b
198,"Một công ty xã chất thải ra sông làm cá chết hàng loạt, gây ô nhiễm nặng môi trường. Trách nhiệm pháp lý áp dụng đối với công ty này là:",Trách nhiệm hành chính,Trách nhiệm hình sự,Trách nhiệm hành chính và trách nhiệm dân sự,Trách nhiệm hình sự và trách nhiệm dân sự,c
199,Chọn nhận định SAI:,Phó thủ tướng không nhất thiết phải là đại biểu Quốc hội,Năng lực pháp luật xuất hiện từ khi con người được sinh ra,Năng lực lao động xuất hiện từ khi công dân đủ 16 tuổi,Năng lực pháp luật là tiền đề của năng lực hành vi,c
200,Để truy cứu trách nhiệm pháp lý cần xác định?,Lỗi của chủ thể vi phạm pháp luật,Hành vi trái pháp luật của chủ thể,Hậu quả gây thiệt hại cho xã hội,"Có hành vi vi phạm pháp luật xảy ra, còn thời hiệu truy cứu trách nhiệm pháp lý",d
201,Quy định thường gặp trong pháp luật hành chính:,Quy định dứt khoát,Quy định không dứt khoát,Quy định giao quyền,Tất cả đều sai,a
202,Hình thức thể hiện của pháp luật là các văn bản có chứa…,quy chế chung,quy định bắt buộc,chuẩn mực chung,quy phạm pháp luật,c
203,Vi phạm hình sự là…,Hành vi rất nguy hiểm cho xã hội,Hành vi nguy hiểm cho xã hội,Hành vi tương đối nguy hiểm cho xã hội,Hành vi đặc biệt nguy hiểm cho xã hội,b
204,Nội dung của văn bản quy phạm pháp luật đòi hỏi phải được diễn đạt…,"chính xác, một nghĩa","chính xác, đa nghĩa","tương đối chính xác, một nghĩa","tương đối chính xác, đa nghĩa",a
205,"Người nào tuy có điều kiện mà không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng, dẫn đến hậu quả người đó chết, thì…",vi phạm pháp luật dân sự,phải chịu trách nhiệm hình sự,vi phạm pháp luật hành chính,bị xử phạt hành chính,b
206,Ông B lừa chị C bằng cách mượn của chị 10 triệu đồng nhưng đến ngày hẹn ông B đã không chịu trả cho chị C số tiền trên. Chị C đã làm đơn kiện ông B ra tòa. Việc chị C kiện ông B là hành vi…,áp dụng pháp luật,tuân thủ pháp luật,thi hành pháp luật,sử dụng pháp luật,d
207,Chọn phương án đúng nhất: Các hình thức thực hiện pháp luật bao gồm:,Tuân thủ pháp luật và thực thi pháp luật,Tuân thủ pháp luật và sử dụng pháp luật,Áp dụng pháp luật và thực thi pháp luật,"Sử dụng pháp luật, tuân thủ pháp luật, thực thi pháp luật và áp dụng pháp luật",d
208,Hành vi nào sau đây là vi phạm pháp luật dân sự?,Thành phố Huế,Thành phố Cần Thơ,Thành phố Đà Nẵng,Thành phố Hải Phòng,d
209,Thành phố nào sau đây của Việt Nam không phải là thành phố trực thuộc trung ương,Thành phố Huế,Thành phố Cần Thơ,Thành phố Đà Nẵng,Thành phố Hải Phòng,a
210,Phương hướng chính để đề phòng và hạn chế những hành vi vi phạm pháp luật là…,xử lý nghiêm minh các hành vi vi phạm pháp luật,hoàn chỉnh cơ chế thực thi pháp luật một cách có hiệu quả,xây dựng và hoàn chỉnh hệ thống pháp luật,"đẩy mạnh phát triển kinh tế song song với chính sách xã hội, xóa đói giảm nghèo, nâng cao dân trí",c
211,So với pháp luật thì đạo đức có phạm vi điều chỉnh…,rộng hơn,hẹp hơn,như nhau,bằng nhau,a
212,Chọn phương án đúng nhất: Mặt chủ quan của vi phạm pháp luật gồm?,Lỗi cố ý và lỗi vô ý,Cố ý trực tiếp và cố ý gián tiếp; vô ý vì quá tự tin và vô ý vì quá cẩu thả,Hành vi trái pháp luật và hậu quả nguy hiểm cho xã hội,Lỗi; động cơ; mục đích,d
213,Quyền công tố trước tòa là:,"Quyền truy tố cá nhân, tổ chức ra trước pháp luật","Quyền khiếu nại, tố cáo của công dân",Quyền xác định tội phạm,Tất cả đều đúng,a
